From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b1073	P0ABW9	Flagellar basal body rod protein FlgB (Putative proximal rod protein)	flgB fla FII flbA b1073 JW1060	138				GO:0006935; GO:0009288; GO:0030694; GO:0071973; GO:0071978	SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000250}.	9278503; 8905232; 16738553; 17122336	Flagella basal body rod proteins family		
b1072	P75933	Flagella basal body P-ring formation protein FlgA	flgA b1072 JW1059	219				GO:0042597; GO:0044780; GO:0071973	SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.	8905232; 9278503; 16738553	FlgA family		
b1904	P76308	Uncharacterized protein YecR	yecR b1904 JW1892	107						9278503; 16738553			
b0655	P37902	Glutamate/aspartate import solute-binding protein	gltI ybeJ yzzK b0655 JW5092	302				GO:0015813; GO:0016020; GO:0016595; GO:0030288; GO:0055052; GO:0070335; GO:0070778; GO:0098712; GO:0140009	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1091635}.	8905232; 9278503; 16738553; 10493123; 1091635; 1091636; 336628; 9593292	Bacterial solute-binding protein 3 family		
b1924	P24216	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)	fliD flaV flbC b1924 JW1909	468		P0ABY2		GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973	SUBCELLULAR LOCATION: Secreted. Bacterial flagellum.	1527488; 9097040; 9278503; 16738553; 2659972; 6305924	FliD family		
b1880	P76299	Flagellar biosynthetic protein FlhB	flhB yecQ b1880 JW1869	382				GO:0005886; GO:0006935; GO:0009288; GO:0030254; GO:0030257; GO:0044780; GO:0071973; GO:0120102	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	9097040; 9278503; 16738553; 15919996	Type III secretion exporter family		TOPO_DOM 1..31; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 53..73; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 116..144; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 166..189; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 211..382; /note="Cytoplasmic"; /evidence="ECO:0000255"
b1922	P0AEM6	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)	fliA flaD rpoF b1922 JW1907	239		P0AEM4		GO:0000345; GO:0003677; GO:0003899; GO:0005829; GO:0006352; GO:0006355; GO:0016987; GO:0044780; GO:0071973; GO:2000142	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00962}.	7590326; 8550423; 9097040; 9278503; 16738553; 3536871; 2644646; 8866483; 16397770; 19400790	Sigma-70 factor family, FliA subfamily		
b1944	P0ABX8	Flagellar protein FliL	fliL cheC1 fla AI fla QI b1944 JW1928	154				GO:0005886; GO:0006935; GO:0009425; GO:0042802; GO:0071978	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	3519573; 9097040; 9278503; 16738553; 8631687	FliL family		
b1222	P0AFA2	Nitrate/nitrite sensor protein NarX (EC 2.7.13.3)	narX narR b1222 JW1213	598	2.7.13.3	P0AF28		GO:0000155; GO:0004721; GO:0005524; GO:0005886; GO:0006974; GO:0007165; GO:0030288; GO:0042128; GO:0042803; GO:0071249; GO:0071250	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.	2657652; 8905232; 9278503; 16738553; 2668029; 2649492; 15919996		DOMAIN 176..228; /note="HAMP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00102"; DOMAIN 393..587; /note="Histidine kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00107"	TOPO_DOM 1..14; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 38..151; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 175..598; /note="Cytoplasmic"; /evidence="ECO:0000255"
b1223	P10903	Nitrate/nitrite antiporter NarK (Nitrate/nitrite exchanger) (Nitrite extrusion protein 1) (Nitrite facilitator 1)	narK b1223 JW1214	463				GO:0005452; GO:0005886; GO:0015112; GO:0015113; GO:0015706; GO:0015707; GO:0042128; GO:0043602	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:23665960, ECO:0000269|PubMed:25959928}; Multi-pass membrane protein {ECO:0000269|PubMed:23665960, ECO:0000269|PubMed:25959928}.	2668029; 8905232; 9278503; 16738553; 2657652; 11967075; 15667293; 15919996; 16804183; 18691156; 23665960; 25959928	Major facilitator superfamily, Nitrate/nitrite porter (TC 2.A.1.8) family		TOPO_DOM 1..37; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 60..73; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 96..102; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 123..130; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 152..166; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 190..211; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 234..253; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 282..289; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 313..316; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 339..347; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 374..405; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 428..435; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"; TOPO_DOM 459..463; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:25959928, ECO:0007744|PDB:4U4T, ECO:0007744|PDB:4U4V"
b2503	P77172	Cyclic di-GMP phosphodiesterase PdeF (EC 3.1.4.52)	pdeF yfgF b2503 JW2488	747	3.1.4.52			GO:0000166; GO:0005886; GO:0016020; GO:0042803; GO:0070301; GO:0071111; GO:0071454; GO:1900190	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	9205837; 9278503; 16738553; 15919996; 20522491; 26148715		DOMAIN 493..744; /note="EAL"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00074"	TOPO_DOM 1..14; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 37..42; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 66..79; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 103..128; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 152..165; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 189..215; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 236..239; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 260..265; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 286..294; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 318..747; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996"
b2503	Q1MPR6	Cytochrome c-type biogenesis protein CcmE	b2503 LI0957	138				GO:0005886; GO:0017004; GO:0020037					
b4238	P28903	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)	nrdD b4238 JW4197	712	1.1.98.6	P0A9N8		GO:0005524; GO:0006260; GO:0008270; GO:0008998; GO:0009265; GO:0015949; GO:0031250; GO:0032556; GO:0032564; GO:0032567; GO:0051065		8421692; 7610040; 9278503; 16738553; 8083158; 7852304; 1460049; 8381402; 7929317; 7826394; 7568012; 8636106; 8621608; 9305874; 12655046; 19381696; 20005847; 24827372	Anaerobic ribonucleoside-triphosphate reductase family	DOMAIN 3..92; /note="ATP-cone"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00492"; DOMAIN 583..708; /note="Glycine radical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00493"	
b1674	P0AAL6	Uncharacterized ferredoxin-like protein YdhY	ydhY b1674 JW1664	208				GO:0046872; GO:0051539		9097039; 9023191; 9278503; 16738553; 18227264		DOMAIN 59..88; /note="4Fe-4S ferredoxin-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00711"; DOMAIN 114..145; /note="4Fe-4S ferredoxin-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00711"; DOMAIN 147..176; /note="4Fe-4S ferredoxin-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00711"; DOMAIN 174..203; /note="4Fe-4S ferredoxin-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00711"	
b3518	P37197	Probable cytochrome c peroxidase (EC 1.11.1.5)	yhjA b3518 JW3486	465	1.11.1.5			GO:0004130; GO:0009055; GO:0019645; GO:0020037; GO:0042542; GO:0042743; GO:0046872		8041620; 9278503; 16738553			
b3942	P13029	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)	katG b3942 JW3914	726	1.11.1.21			GO:0004096; GO:0004601; GO:0005829; GO:0006979; GO:0016491; GO:0020037; GO:0042744; GO:0042802; GO:0046872; GO:0070301		3045098; 9278503; 16738553; 8346018; 8265357; 374409; 12832453; 18178143; 23416055; 15388929	Peroxidase family, Peroxidase/catalase subfamily		
b1587	P77374	Putative dimethyl sulfoxide reductase chain YnfE (DMSO reductase) (EC 1.8.99.-)	ynfE b1587 JW1579	808	1.8.99.-	P69853		GO:0005886; GO:0009055; GO:0009061; GO:0009389; GO:0030151; GO:0030288; GO:0033797; GO:0043546; GO:0051539	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.	9097039; 9278503; 16738553; 17218314	Prokaryotic molybdopterin-containing oxidoreductase family	DOMAIN 49..110; /note="4Fe-4S Mo/W bis-MGD-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01004"	
b3408	P0AEL3	Fe(2+) transport protein A (Ferrous iron transport protein A)	feoA b3408 JW3371	75				GO:0005737; GO:0006974; GO:0034755; GO:0046914	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:23104801}.	8407793; 9278503; 16738553; 20005847; 23104801	FeoA family		
b0781	P30745	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA bisA chlA chlA1 narA b0781 JW0764	329	4.1.99.22		PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01225}.	GO:0005525; GO:0006777; GO:0009408; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:0061799; GO:1904047		8361352; 8905232; 9278503; 16738553	Radical SAM superfamily, MoaA family	DOMAIN 8..234; /note="Radical SAM core"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01266"	
b0873	P75825	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp ybjW b0873 JW0857	550	1.7.99.1			GO:0004601; GO:0005737; GO:0006807; GO:0016491; GO:0042542; GO:0046210; GO:0046872; GO:0050418; GO:0051537	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00069}.	8905232; 9278503; 16738553; 10381368; 10651802; 12374823; 15667305	HCP family		
b4401	P0A9Q1	Aerobic respiration control protein ArcA (Dye resistance protein)	arcA cpxC dye fexA msp seg sfrA b4401 JW4364	238		P0A9Q1; P52002		GO:0000156; GO:0000160; GO:0000976; GO:0001217; GO:0003700; GO:0005829; GO:0006355; GO:0032993; GO:0042802; GO:0045892; GO:0045893	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	2984198; 7610040; 9278503; 16738553; 9298646; 7565118		DOMAIN 5..118; /note="Response regulatory"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00169"	
b1334	P0A9E5	Fumarate and nitrate reduction regulatory protein	fnr nirR b1334 JW1328	250				GO:0000976; GO:0001216; GO:0003677; GO:0003700; GO:0005829; GO:0006351; GO:0006355; GO:0009061; GO:0032993; GO:0045893; GO:0046872; GO:0051536; GO:0051539; GO:0071731	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	6292868; 9097039; 9278503; 16738553; 2181237; 8406003; 9177174; 11251837; 8497198; 2226775; 1898918; 1762901; 9321653; 11115116; 11581261; 2248796; 9990723; 11407111		DOMAIN 164..237; /note="HTH crp-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00387"	
b3544	P23847	Dipeptide-binding protein (DBP) (Periplasmic dipeptide transport protein)	dppA b3544 JW3513	535				GO:0006935; GO:0015031; GO:0020037; GO:0030288; GO:0035351; GO:0042277; GO:0042938; GO:0055052; GO:0061077; GO:0071916; GO:1904680	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1702779}.	1702779; 1956284; 7536291; 8041620; 9278503; 16738553; 10537211; 9298646; 9600841; 3520334; 8444807; 9298644; 16905647; 8527431; 8563629	Bacterial solute-binding protein 5 family		
b1537	P31131	Protein YdeJ	ydeJ b1537 JW1530	172						8383113; 9097039; 9278503; 16738553; 21953451	CinA family		
b4133	P23890	Transcriptional activator CadC (Membrane-integrated pH sensor CadC)	cadC b4133 JW4094	512		P25737		GO:0000156; GO:0000976; GO:0005829; GO:0005886; GO:0006355; GO:0032993; GO:0042803; GO:0045893	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:24946151, ECO:0000269|PubMed:7830562}; Single-pass membrane protein {ECO:0000269|PubMed:24946151}. Note=Membrane insertion requires the SecA translocase. {ECO:0000269|PubMed:24946151}.	1370290; 7610040; 9278503; 16738553; 7830562; 16491024; 18086202; 21216950; 21486484; 22999955; 23239623; 24056175; 24946151; 21308846; 28432336			TOPO_DOM 1..154; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:24946151, ECO:0000305|PubMed:7830562"; TOPO_DOM 181..512; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:24946151, ECO:0000305|PubMed:7830562"
b1210	P0A6X1	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA b1210 JW1201	418	1.2.1.70		PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from L-glutamyl-tRNA(Glu): step 1/2.	GO:0008883; GO:0019353; GO:0042802; GO:0050661		2684779; 2548996; 2664455; 7543480; 8905232; 9278503; 16738553; 1427085; 12370189; 1569081; 15757895; 17697121	Glutamyl-tRNA reductase family		
b2499	P08178	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM purG b2499 JW2484	345	6.3.3.1		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 2/2. {ECO:0000305|PubMed:3530323}.	GO:0004637; GO:0004641; GO:0005524; GO:0005829; GO:0006164; GO:0006189; GO:0046084	SUBCELLULAR LOCATION: Cytoplasm.	3015935; 9205837; 9278503; 16738553; 3530323; 9298646; 10508786	AIR synthase family		
b3516	P37639	HTH-type transcriptional regulator GadX	gadX yhiX b3516 JW3484	274				GO:0000976; GO:0000987; GO:0001216; GO:0003700; GO:0006351; GO:0006974; GO:0042803; GO:0045893		8041620; 9278503; 16738553; 11298273; 11976288; 12446650; 12730179; 14617649; 14702398		DOMAIN 145..242; /note="HTH araC/xylS-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00593"	
b3417	P00490	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	797	2.4.1.1			GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0042803; GO:0102250; GO:0102499		3037809; 9278503; 16397293; 16738553; 3155826; 2845225; 6283313; 6339728; 6986282; 18723842; 9009262; 10220320; 10469642	Glycogen phosphorylase family		
b0585	P13039	Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase)	fes b0585 JW0576	400	3.1.1.108			GO:0005506; GO:0005737; GO:0008849; GO:0033214; GO:0046214	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:1534808}.	2974033; 9278503; 16738553; 8905232; 23908556; 150859; 3040679; 1534808; 8148617; 9573216	Fes family		
b3476	P33590	Nickel-binding periplasmic protein	nikA b3476 JW3441	524		P0CE47		GO:0015833; GO:0016020; GO:0016151; GO:0020037; GO:0030288; GO:0042597; GO:0046914; GO:0050919; GO:0051540; GO:0055052; GO:0098716; GO:1904680	SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.	7934931; 8041620; 9278503; 16738553; 12960164	Bacterial solute-binding protein 5 family		
b2163	P0A9E9	Regulatory protein YeiL	yeiL nsr b2163 JW2150	219				GO:0003677; GO:0003700; GO:0005829; GO:0006351; GO:0046872; GO:0051539	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:11101674}.	9278503; 16738553; 11101674		DOMAIN 136..199; /note="HTH crp-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00387"	
b2498	P0A8F0	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp uraP b2498 JW2483	208	2.4.2.9	P0A8F0	PATHWAY: Pyrimidine metabolism; UMP biosynthesis via salvage pathway; UMP from uracil: step 1/1.	GO:0000287; GO:0004845; GO:0005525; GO:0005737; GO:0005829; GO:0006223; GO:0016020; GO:0042802; GO:0044206; GO:0097216		1371255; 9205837; 9278503; 16738553; 9298646; 8856065; 10079076	UPRTase family		
b4123	P0ABN9	Anaerobic C4-dicarboxylate transporter DcuB	dcuB genF b4123 JW4084	446				GO:0005469; GO:0005886; GO:0015293; GO:0015556; GO:0015740	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:21634397}; Multi-pass membrane protein {ECO:0000269|PubMed:21634397}.	8131924; 7961398; 7610040; 9278503; 16738553; 2656658; 8955408; 9852003; 15919996; 17643228; 18957436; 21634397; 27318186	DcuA/DcuB transporter (TC 2.A.13.1) family		TOPO_DOM 19..22; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 40..53; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 71..87; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 160..178; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 195..234; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 253..268; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 288..313; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 332..341; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 366..425; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21634397"; TOPO_DOM 444..446; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:21634397"
b3441	P46854	L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53)	aaaT yhhY b3441 JW3405	162	2.3.1.-; 2.3.1.53			GO:0008080; GO:0016747; GO:0050176; GO:0103045		9278503; 16738553; 25002546; 27941785	Acetyltransferase family	DOMAIN 4..162; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"	
b0755	P62707	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm pgm pgmA b0755 JW0738	250	5.4.2.11		PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. {ECO:0000255|HAMAP-Rule:MF_01039}.	GO:0005524; GO:0005737; GO:0005829; GO:0006094; GO:0042803; GO:0046538; GO:0061621; GO:0097216		8905232; 9278503; 16738553; 6125934; 9298646; 8670822; 9600841; 9298644; 10437801; 11101675; 18723842; 11038361; 11884145	Phosphoglycerate mutase family, BPG-dependent PGAM subfamily		
b0593	P0AEJ2	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)	entC b0593 JW0585	391	5.4.4.2		PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305}.	GO:0000287; GO:0008909; GO:0009239		2110093; 2536681; 9278503; 16738553; 2139473; 2139795; 2521621; 8655506; 9795253; 17243787; 22096151; 20079748	Isochorismate synthase family		
b4367	P39405	Ferric siderophore reductase (Ferric iron reductase protein FhuF)	fhuF yjjS b4367 JW4331	262				GO:0000293; GO:0005829; GO:0005886; GO:0016722; GO:0033214; GO:0033215; GO:0046872; GO:0051537	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9990318}. Cell inner membrane {ECO:0000269|PubMed:9990318}; Peripheral membrane protein {ECO:0000269|PubMed:9990318}. Note=Loosely associated with the cytoplasmic membrane. {ECO:0000269|PubMed:9990318}.	7610040; 9278503; 16738553; 9990318; 10322040; 14756576; 20005847; 33559753			
b3070	Q46871	NADPH-dependent ferric-chelate reductase (EC 1.16.1.9) (Ferric siderophore reductase)	yqjH b3070 JW3041	254	1.16.1.9			GO:0005829; GO:0010106; GO:0015891; GO:0033212; GO:0033214; GO:0050660; GO:0052851; GO:0071289; GO:0071949	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	9278503; 16738553; 18765906; 21097627	SIP oxidoreductase family	DOMAIN 15..136; /note="FAD-binding FR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00716"	
b2392	P0A769	Divalent metal cation transporter MntH	mntH yfeP b2392 JW2388	412		P09372		GO:0005384; GO:0005886; GO:0006824; GO:0006826; GO:0006828; GO:0015078; GO:0015086; GO:0015292; GO:0015293; GO:0015691; GO:0030001; GO:0046872; GO:0071281	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00221, ECO:0000269|PubMed:14607838}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00221, ECO:0000269|PubMed:14607838}.	10844693; 9205837; 9278503; 16738553; 10712688; 14607838; 15630547; 15919996	NRAMP family		TOPO_DOM 1..19; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 40..51; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 72..95; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 119..125; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 146..155; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 176..196; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 221..238; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 259..276; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 298..327; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 345..350; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 371..387; /note="Cytoplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"; TOPO_DOM 407..412; /note="Periplasmic"; /evidence="ECO:0000255|HAMAP-Rule:MF_00221"
b2392	Q8D383	Divalent metal cation transporter MntH	b2392 mntH	446				GO:0005886; GO:0015293; GO:0046872; GO:0046873		12219091	NRAMP family		
b0150	P06971	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)	fhuA tonA b0150 JW0146	747		P02929; Q9X2V7		GO:0005506; GO:0006879; GO:0009279; GO:0015344; GO:0015643; GO:0016020; GO:0019904; GO:0038023; GO:0044718; GO:0046790; GO:1902495	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2066336, ECO:0000269|PubMed:8916906, ECO:0000269|PubMed:9856937, ECO:0000269|PubMed:9865695}; Multi-pass membrane protein {ECO:0000269|PubMed:9856937, ECO:0000269|PubMed:9865695}.	3079747; 8202364; 9278503; 16738553; 2823072; 1089064; 353030; 2066336; 7515827; 8916906; 8617231; 9353297; 12427941; 18653801; 20005847; 9856937; 9865695; 10850805; 36215462; 36779755	TonB-dependent receptor family	DOMAIN 75..187; /note="TBDR plug"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01360"; DOMAIN 192..747; /note="TBDR beta-barrel"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01360"	TOPO_DOM 34..192; /note="Periplasmic"; TOPO_DOM 202..206; /note="Extracellular"; TOPO_DOM 216..222; /note="Periplasmic"; TOPO_DOM 232..245; /note="Extracellular"; TOPO_DOM 256..259; /note="Periplasmic"; TOPO_DOM 269..312; /note="Extracellular"; TOPO_DOM 322..326; /note="Periplasmic"; TOPO_DOM 336..387; /note="Extracellular"; TOPO_DOM 397..404; /note="Periplasmic"; TOPO_DOM 414..464; /note="Extracellular"; TOPO_DOM 474..477; /note="Periplasmic"; TOPO_DOM 487..508; /note="Extracellular"; TOPO_DOM 518..522; /note="Periplasmic"; TOPO_DOM 532..551; /note="Extracellular"; TOPO_DOM 561..565; /note="Periplasmic"; TOPO_DOM 575..601; /note="Extracellular"; TOPO_DOM 611..613; /note="Periplasmic"; TOPO_DOM 623..645; /note="Extracellular"; TOPO_DOM 655..661; /note="Periplasmic"; TOPO_DOM 671..689; /note="Extracellular"; TOPO_DOM 699..705; /note="Periplasmic"; TOPO_DOM 715..737; /note="Extracellular"; TOPO_DOM 747; /note="Periplasmic"
